br-icloud.com.br,phishing
mp3raid.com/music/krizz_kaliko.html,benign
bopsecrets.org/rexroth/cr/1.htm,benign
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,defacement
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign
espn.go.com/nba/player/_/id/3457/brandon-rush,benign
yourbittorrent.com/?q=anthony-hamilton-soulife,benign
http://www.pashminaonline.com/pure-pashminas,defacement
allmusic.com/album/crazy-from-the-heat-r16990,benign
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement
myspace.com/video/vid/30602581,benign
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement
http://www.szabadmunkaero.hu/cimoldal.html?start=12,defacement
http://larcadelcarnevale.com/catalogo/palloncini,defacement
quickfacts.census.gov/qfd/maps/iowa_map.html,benign
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,benign
uk.linkedin.com/pub/steve-rubenstein/8/718/755,benign
http://www.vnic.co/khach-hang.html,defacement
baseball-reference.com/players/h/harrige01.shtml,benign
signin.eby.de.zukruygxctzmmqi.civpro.co.za,phishing
192.com/atoz/people/oakley/patrick/,benign
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,benign
escholarship.org/uc/item/5xt4952c,benign
songfacts.com/detail.php?id=13410,benign
casamanana.org/education/blba/,benign
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,benign
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,phishing
en.wikipedia.org/wiki/North_Dakota,benign
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,benign
perfectpeople.net/celebrity-star/6920/gidget-gein.htm,benign
media.caltech.edu/press_releases/13186,benign
wikiobits.com/Obits/TonyProudfoot,benign
vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,benign
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,defacement
movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,benign
cyndislist.com/us/pa/counties,benign
http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,malware
http://www.raci.it/component/user/reset.html,defacement
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,phishing
psychology.wikia.com/wiki/Phonemes,benign
info.centriq.com/content/fivereasons,benign
articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,benign
infinitysw.com/,benign
strawberrycreekgardens.com/,benign
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,defacement
spoke.com/dir/p/desantis/nick,benign
wordsmith.org/words/pignus.html,benign
